title,authors,tags,quality_rating,rating_label,key_review,date_added
生活的藝術：52 個打造美好人生的思考工具,Rolf Dobelli,#台版、2. methodology,3.0,暢銷佳作,Harvard/London Business School 教授推薦，斯多葛哲學與心理學結合，但內容多為衍生非原創,2022-09-20 16:31:38.226411
I Will Teach You to Be Rich,Ramit Sethi,#台版、3. money,4.0,理財佳作,NYT 暢銷，實用個人理財指南，年輕族群廣泛推薦,2022-09-27 07:47:49.178022
大錢流：金錢的流動影響了歷史的變動，看記帳如何改變全世界，左右全球商業模式與金融發展,田中靖浩,#台版、2. monde,2.0,日本作品,日本會計師，會計史普及，英語世界認知有限,2022-09-27 07:51:31.678699
佔有：一部愛的浪漫傳奇,A. S. Byatt,#台版、1. fiction,5.0,學科經典,1990年布克獎得主，公認現代文學經典，後現代歷史小說典範之作。原書名：Possession: A Romance,2022-09-27 07:51:31.706934
沙丘,Frank Herbert,#台版、1. fiction,5.0,學科經典,雨果獎＋星雲獎，科幻文學正典中的正典。原書名：Dune,2022-09-27 07:51:31.737570
Bouquiner. Autobiobibliographie,Annie Francois,#中譯、1. non-fiction,,無法評估,法文原創作品，無法以英語學術資源評估,2022-09-27 07:51:31.870899
卡片盒筆記,Sönke Ahrens,#台版、2. methodology、紙本書,3.0,暢銷佳作,Zettelkasten 方法普及化，德國學術背景但主要為實用指南,0101-01-01 00:00:00
沼澤女孩,Delia Owens,#台版、1. fiction,3.0,暢銷好評,超級暢銷書，但文學評價一般。原書名：Where the Crawdads Sing,2022-09-30 07:47:11.673658
被討厭的勇氣,岸見一郎| 古賀史健,#台版、2. mind,4.0,優秀普及作品,日本暢銷 300 天,2022-09-30 07:56:39.348142
大器可以晚成,Rich Karlgaard,#台版、4. self-dev,3.0,流行暢銷,原名 Late Bloomers，Forbes 發行人，反早成文化論述，好評但非經典,2022-10-08 13:51:05.037047
創意競擇：從賈伯斯黃金年代的軟體設計機密流程，窺見蘋果的創意方法、本質與卓越關鍵,Ken Kocienda,#中譯、2. methodology,3.0,專業回憶錄,蘋果前工程師回憶錄，業界洞察但非學術研究,2022-11-08 07:02:25.202071
打開心智,李睿秋,#中譯、2. methodology,,無法評估,中文原創作品，無法以英語學術資源評估,2022-11-08 07:13:11.188371
惡意,東野圭吾,#中譯、1. fiction,1.0,無法評估,日文原創推理小說，英語學術界無充分評價。原書名：Malice,2022-11-08 08:19:05.448676
時間的女兒,Josephine Tey,#台版、1. fiction,5.0,學科經典,CWA票選史上最佳推理小說，推理文學正典。原書名：The Daughter of Time,2022-11-22 07:33:44.738626
摯友,John Le Carré,#台版、1. fiction,4.0,領域重要作品,Le Carre為間諜小說大師，作品具文學深度。,2022-11-22 07:34:38.032586
莫斯科紳士,Amor Towles,#台版、1. fiction,3.0,暢銷好評,全球暢銷好評，但尚未獲經典地位。原書名：A Gentleman in Moscow,2022-11-22 07:35:07.516893
漫步華爾街,Burton G. Malkiel,#台版、4. self-dev,5.0,投資經典,原名 A Random Walk Down Wall Street，1973 年首版至今更新，指數投資聖經,2022-11-22 07:35:26.157524
見,金英夏,#台版、1. non-fiction,,無法評估,韓文原創作品，無法以英語學術資源評估,2022-11-22 07:35:59.088000
自私的基因,Richard Dawkins,#台版、2. methodology,5.0,學科經典,1976 年出版，銷售逾百萬冊，翻譯 25+ 語言，Guardian 百大非虛構，創造 meme 一詞，演化生物學里程碑,2022-11-22 07:36:53.877103
社會心理學,David Myers,#中譯、2. sociology/science,4.0,教科書標準,Hope College 教授，Gordon Allport 獎得主，美國社會心理學標準教科書,2022-11-22 07:37:32.948154
令人神往的靜坐開悟,Robert Wright,#台版、2. philosophy,4.0,科普佳作,原名 Why Buddhism is True，科學作家，演化心理學視角談佛學,2022-11-22 07:39:30.841625
當上主管後，難道只能默默崩潰？,Julie Zhuo,#台版、4. self-dev,4.0,業界佳作,原名 The Making of a Manager，前 Facebook 設計 VP，新手主管實戰指南,2023-03-18 14:56:13.437307
障礙就是道路,Ryan Holiday,#台版、2. philosophy,3.0,流行暢銷,原名 The Obstacle is the Way，斯多葛流行化代表，矽谷/運動員圈流行,2023-03-18 14:57:19.492479
倫敦最後一家書店,Madeline Martin,#台版、1. non-fiction,3.0,暢銷小說,二戰歷史小說，書店與閱讀主題，暢銷但非學術經典,2023-03-18 14:58:07.313040
恐懼密碼：為什麼我們總是怕黑、怕鬼、怕獨處？,Margee Kerr,#台版、2. methodology,3.0,科普作品,匹茲堡大學社會學博士，恐懼科學研究，Library Journal 好評但部分評論指缺乏深度,2023-03-18 14:59:44.681696
"為什麼學生不喜歡上學?:認知心理學家解開大腦學習的運作結構,如何更有效地學習與思考",Daniel T. Willingham,#中譯、2. methodology,4.0,教育心理學佳作,哈佛博士、維吉尼亞大學教授，歐巴馬任命國家教育科學委員，MIT/Stanford 教授推薦,2023-03-18 15:01:21.781107
一口哲學,David Edmonds,#台版、2. philosophy,3.0,優秀普及作品,Philosophy Bites 系列，BBC 製作人，哲學 Podcast 代表作,2023-03-18 15:04:54.955000
The Gap and The Gain,Benjamin Hardy & Dan Sullivan,2. mind、#LLMs 翻譯,3.0,流行暢銷,企業教練 Dan Sullivan 核心理念,2023-03-22 13:36:06.417212
像火箭科學家一樣思考：將不可能變為可能,Ozan Varol,#中譯、2. methodology,3.0,流行暢銷,科學思維普及讀物，暢銷但缺乏深厚學術基礎,2023-03-30 13:04:05.219253
Hell Yeah or No,Derek Sivers,2. mind、#LLMs 翻譯,3.0,優秀普及作品,Tim Ferriss 高度推薦,2023-03-30 13:07:08.503332
跨能致勝,David Epstein,#台版、4. self-dev,4.0,科普佳作,原名 Range，挑戰專精化迷思，Bill Gates 年度推薦，廣受好評,2023-03-30 13:13:28.906693
跳出你的思维陷阱,Scott Adams,#中譯、2. methodology,3.0,暢銷佳作,Dilbert 漫畫創作者，跨領域思維方法，但內容引用不足，政治立場明顯,2023-03-30 13:13:46.750945
超越邏輯的情緒說服：不靠事實、不必精準，照樣讓人點頭如搗蒜！,Scott Adams,#台版、3. communication,,,,2023-03-30 13:14:06.039101
打破大腦偽科學：右腦不會比左腦更有創意，男生的方向感也不會比女生好,Henning Beck,#台版、2. methodology,3.0,科普作品,Tübingen 大學神經科學博士，Publishers Weekly 星級評論，Adam Grant 推薦,2023-03-30 13:14:59.916059
逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證,Ron Friedman,#台版、4. self-dev,3.0,流行暢銷,原名 Decoding Greatness，心理學家，逆向學習方法論,2023-03-30 13:17:52.176216
渺小一生,柳原漢雅 (Hanya Yanaghara),#台版、1. fiction,4.0,領域重要作品,布克獎入圍，Kirkus Prize得主，當代重要小說。原書名：A Little Life,2023-03-30 13:21:57.410922
人類大歷史,uval Noah Harari,#台版、2. monde,5.0,現象級暢銷,原名 Sapiens，全球銷量逾 2500 萬冊，21 世紀最具影響力科普之一,2023-04-05 14:41:04.797337
天才、瘋子、大字典家,Simon Winchester,#台版、2. monde,4.0,非虛構佳作,原名 The Professor and the Madman，牛津字典編纂故事，改編電影,2023-04-05 14:41:54.132642
耶路撒冷三千年,Simon Sebag Montefiore,#台版、2. monde,5.0,歷史經典,原名 Jerusalem: The Biography，耶路撒冷權威傳記,2023-04-05 14:41:54.919356
生存的十二條法則,Jordan B. Peterson,#台版、2. philosophy,3.0,爭議暢銷,原名 12 Rules for Life，全球暢銷但評價兩極，自助/心理學混合,2023-04-10 11:46:34.893792
千面英雄,Joseph Campbell,#台版、2. methodology,5.0,學科經典,神話學經典之作，跨文化敘事研究里程碑，影響無數領域,2023-04-10 11:46:48.337407
宮前町九十番地（紀念新版）,陳柔縉,#台版、2. monde、2. monde/Taiwan,2.0,台灣作品,台灣日治時期生活史，本土史料價值高，英語世界認知有限,2023-04-10 11:47:56.252211
槍炮、病菌與鋼鐵,Jared Diamond,#台版、2. monde,5.0,普立茲獎,原名 Guns,2023-04-10 11:48:09.735893
汀克溪畔的朝聖者,Annie Dillard,#台版、1. non-fiction,5.0,學科經典,1975 年普立茲獎，Modern Library 百大非虛構，自然寫作里程碑,2023-04-10 11:51:06.383885
論幸福：「現代蘇格拉底」哲學家阿蘭的教導，成為自己的思想者，在各種環境中保持快樂的藝術,Alain,#台版、2. philosophy,4.0,法國哲學經典,原名 Propos sur le bonheur，法國哲學家阿蘭，幸福哲學經典,2023-04-10 11:51:06.428254
吃佛：從一座城市窺見西藏的劫難與求生,Barbara Demick,#台版、2. monde,5.0,報導文學經典,原名 Eat the Buddha，《乏味與輝煌》作者，普立茲獎入圍,2023-04-10 11:51:06.475686
我們最幸福,Barbara Demick,#台版、2. monde,5.0,報導文學經典,原名 Nothing to Envy，北韓報導經典，National Book Award 入圍,2023-04-10 11:51:06.563859
林肯公路,Amor Towles,#台版、1. fiction,3.0,暢銷好評,暢銷好評，但非文學經典。原書名：The Lincoln Highway,2023-04-10 11:53:04.254195
銀翼殺手,hilip K. Dick,#台版、1. fiction,5.0,學科經典,科幻文學經典，哲學深度之作。原書名：Do Androids Dream of Electric Sheep?,2023-04-11 15:03:43.562581
防彈成功法則,Dave Asprey,#台版、4. self-dev,2.0,爭議作品,原名 Game Changers，Bulletproof 創辦人，流行但學術界評價不高,2023-04-11 17:58:17.949475
腦力全開,Jim Kwik,#台版、2. methodology,3.0,流行暢銷,學習教練暢銷書，Harvard 醫學院教授背書，但作者非學術研究者，實用技巧彙編,2023-04-11 18:42:02.840669
我信仰閱讀：傳奇出版人羅伯特·戈特利布回憶錄,Robert Gottlieb,#中譯、1. bio,4.0,出版業回憶錄,原名 Avid Reader，Knopf 傳奇編輯，出版史重要見證,2023-04-11 18:42:06.521056
貝加爾湖隱居札記：在這喧囂的世界，一個人到西伯利亞森林住半年,Sylvain Tesson,#台版、1. non-fiction,4.0,自然寫作佳作,法國 Prix Médicis 非虛構獎，Kirkus 稱「感人、智慧、深刻」，現代版 Walden,2023-04-11 19:16:02.897603
深度職場力,Cal Newport,#台版、4. self-dev,4.0,職涯佳作,原名 So Good They Can't Ignore You，喬治城教授，技能優先論影響深遠,2023-04-12 07:36:50.349224
Make Something Wonderful,Steve Jobs,1. bio、#LLMs 翻譯,4.0,回憶錄集錦,賈伯斯演講/書信/訪談集，遺作編輯，蘋果精神紀錄,2023-04-18 15:21:23.031791
The Buddha and the Badass: The Secret Spiritual Art of Succeeding at Work,Vishen Lakhiani,#中譯、2. mind,2.0,流行暢銷,WSJ 暢銷榜第一,2023-04-30 13:00:19.738234
The Code of the Extraordinary Mind,Vishen Lakhiani,#中譯、2. mind,2.0,流行暢銷,NYT 暢銷榜第十,2023-04-30 13:00:20.763393
僧人心態,Jay Shetty,#台版、2. mind,3.0,流行暢銷,NYT 暢銷書,2023-04-30 13:17:31.995810
5000天後的世界,Kevin Kelly,#台版、2. methodology,3.0,流行暢銷,Wired 創辦人作品，科技趨勢普及讀物，紐約時報暢銷書，但非學術經典,2023-06-17 04:50:14.791692
A Win Without Pitching Manifesto,Blair Enns,4. self-dev、#LLMs 翻譯,3.0,專業小眾,創意產業定價經典，Seth Godin 推薦，受眾限於創意/顧問業,2023-06-17 04:56:57.537936
大不列顛兩千年：從羅馬行省、日不落帝國到英國脫歐，王冠下的權力更迭及對世界秩序的掌控,Roy Strong,#台版、2. monde,4.0,歷史普及,原名 The Story of Britain，前 V&A 館長，英國通史,2023-06-17 05:01:18.052618
如何科學學外語：語言習得的真相與方法,白井恭弘,#中譯、3. language,1.0,無法評估,日文原創，作者為正統 SLA 學者，但此書為日文通俗著作,2023-06-17 05:02:01.478396
如何衡量萬事萬物：大數據時代，做好量化決策、分析的有效方法,Douglas W. Hubbard,#台版、2. methodology,4.0,商業量化佳作,Applied Information Economics 發明者，Gartner/Forrester 讚譽，決策分析領域重要著作,2023-06-17 05:02:43.273830
晶片戰爭,Chris Miller,#台版、2. monde,5.0,當代經典,原名 Chip War，2022 FT 年度商業書，半導體地緣政治必讀,2023-06-17 05:05:52.535909
系統思考：克服盲點、面對複雜性、見樹又見林的整體思考,Donella H. Meadows,#台版、2. methodology,5.0,學科經典,《成長的極限》主要作者，銷售逾 50 萬冊，Forbes/New Yorker 稱經典，系統動力學奠基之作,2023-06-17 05:06:14.292308
聊天紀錄,Sally Rooney,#台版、1. fiction,3.0,暢銷好評,Rooney出道作，千禧世代文學代表但尚新。原書名：Conversations with Friends,2023-06-17 05:07:59.457552
聖母峰之死,Jon Krakauer,#台版、1. non-fiction,5.0,學科經典,1997 年出版，WSJ 稱「史上最偉大冒險書籍之一」，戶外寫作經典，American Academy 文學獎,2023-06-17 05:08:08.914198
這才是以色列：揭露歷史謊言和神話底下的以色列,Ilan Pappé,#台版、2. monde,4.0,爭議佳作,原名 Ten Myths About Israel，以色列「新歷史學家」，立場鮮明,2023-06-17 05:08:27.352590
勞倫斯·布洛克作品集,Lawrence Block,#中譯、1. fiction,3.0,暢銷好評,MWA Grand Master，類型小說大師合集。,2023-06-17 05:13:03.808034
雅賊典藏版,Lawrence Block,#中譯、1. fiction,3.0,暢銷好評,Bernie Rhodenbarr系列合集。,2023-06-17 05:13:23.028861
論文寫作完全求生手冊：「精準表達，以理服人」的技藝,彭明輝,#台版、2. methodology,,無法評估,中文原創作品，無法以英語學術資源評估,2023-06-17 05:15:28.075073
我可能錯了：森林智者的最後一堂人生課,Björn Natthiko Lindeblad,#台版、1. bio,4.0,心靈佳作,原名 I May Be Wrong，瑞典僧侶回憶錄，北歐暢銷，國際好評,2023-06-28 14:19:35.348331
玫瑰的名字,Umberto Eco,#台版、1. fiction,5.0,學科經典,世界文學經典，後現代小說里程碑。原書名：The Name of the Rose,2023-06-28 14:19:35.504678
新世界：靈性的覺醒,Eckhart Tolle,#台版、2. mind,4.0,靈性經典,暢銷千萬冊,2023-07-16 13:11:27.341953
道德的譜系,Friedrich Nietzsche,#中譯、2. philosophy,5.0,哲學正典,原名 On the Genealogy of Morality，尼采最重要著作之一，道德批判經典,2023-07-16 14:01:36.339652
奧本海默,Kai Bird| Martin J. Sherwin,#台版、1. bio,5.0,普立茲獎,原名 American Prometheus，普立茲獎傳記，諾蘭電影原著,2023-08-28 05:08:29.600401
巴別塔,匡靈秀 (R.F. Kuang),#中譯、1. fiction,3.0,暢銷好評,星雲獎入圍，廣受好評但尚太新無法定為經典。原書名：Babel,2024-02-09 12:13:13.274593
神奇收費亭,Norton Juster,#台版、1. fiction,5.0,學科經典,美國兒童文學經典，持續影響力逾60年。原書名：The Phantom Tollbooth,2024-04-10 01:42:22.898651
私人圖書館員,Marie Benedict| Victoria Christopher Murray,#台版、1. fiction,3.0,暢銷好評,歷史小說，好評但非經典。原書名：The Personal Librarian,2024-04-20 03:54:49.746416
我們在存在主義咖啡館：那些關於自由、哲學家與存在主義的故事,Sarah Bakewell,#台版、2. philosophy、紙本書,5.0,哲學敘事經典,原名 At the Existentialist Café，存在主義入門首選，多項大獎,2024-01-28 01:57:48.136000
朝聖者,Terry Hayes,#台版、1. fiction,3.0,暢銷好評,全球暢銷驚悚小說，但屬類型小說。原書名：I Am Pilgrim,2024-04-23 02:28:29.478268
莎士比亞故事集,William Shakespeare,#台版、1. classic,4.0,領域重要作品,Lamb改寫版，經典兒童文學讀本但屬衍生改編。原書名：Tales from Shakespeare,2024-04-23 02:31:38.895681
綠野仙蹤故事集,L. Frank Baum,#台版、1. classic,5.0,學科經典,美國兒童文學正典，文化影響深遠。原書名：The Wonderful Wizard of Oz,2024-04-23 02:31:44.020097
炒飯狙擊手,張國立,#台版、1. fiction,1.0,無法評估,中文原創作品，無法以英語資源評估。,2024-04-24 01:56:45.551525
第六帝國：羅斯柴爾德家族傳奇,Élie de Rothschild Jr.,#台版、1. bio,3.0,家族傳記,羅斯柴爾德家族史，內部視角,2024-04-24 01:56:45.616879
東京藝大美術館長教你西洋美術鑑賞術,秋元雄史,#台版、3. aesthetic/design,,,,2024-05-24 12:29:21.304636
鞋狗: 耐克創始人菲爾奈特親筆自傳,Phil Knight,#中譯、1. bio,5.0,商業回憶錄經典,原名 Shoe Dog，Nike 創辦人自傳，商業回憶錄典範,2024-05-24 12:31:26.981897
你管別人怎麼想：科學奇才費曼博士,Richard P. Feynman,#台版、1. bio,5.0,科學經典,原名 What Do You Care What Other People Think?，費曼第二本回憶錄,2024-05-24 12:31:27.273631
蘇東坡新傳（上下合併冊）,李一冰,#台版、1. bio,2.0,中文作品,台灣學者蘇東坡傳記，中文學術作品，英語世界認知有限,2024-05-24 12:31:27.490705
愛因斯坦,Walter Isaacson,#中譯、1. bio,5.0,傳記經典,原名 Einstein: His Life and Universe，艾薩克森愛因斯坦權威傳記,2024-05-24 12:31:27.937084
稻盛和夫经典系列,稻盛和夫,#中譯、1. bio,4.0,商業經典,京瓷/日航創辦人，日本經營之聖，管理哲學,2024-05-24 12:31:27.995028
貝佐斯傳,Brad Stone,#台版、1. bio,5.0,科技傳記經典,原名 The Everything Store / Amazon Unbound，亞馬遜權威傳記,2024-05-24 12:31:28.013757
活著為了講述,Gabriel Garcia Marquez,#中譯、1. bio,5.0,文學自傳,原名 Living to Tell the Tale，諾貝爾獎得主馬奎斯自傳,2024-05-24 12:31:28.094348
孵化皮克斯,Lawrence Levy,#中譯、1. bio,4.0,商業回憶錄,原名 To Pixar and Beyond，皮克斯 CFO，IPO 幕後故事,2024-05-24 12:31:28.114720
奇特的一生,Alexander Lyubishchev,#中譯、1. bio,4.0,時間管理經典,蘇聯科學家柳比歇夫傳記，時間統計法，生產力圈經典,2024-05-24 12:31:28.132629
蘋果首席設計師: 喬納森傳,Leander Kahney,#中譯、1. bio,4.0,科技傳記,原名 Jony Ive，蘋果設計長傳記,2024-05-24 12:31:28.211102
半生不熟：關於廚藝與人生的真實告白,Anthony Bourdain,#台版、1. bio,4.0,美食文學佳作,原名 Medium Raw，波乏波登，《乏味廚房》續作,2024-05-24 12:31:28.238922
創造與漫想,Jeff Bezos,#中譯、1. bio,4.0,企業家文集,原名 Invent and Wander，貝佐斯股東信/演講集，亞馬遜經營哲學,2024-05-24 12:31:28.337395
創新者,Walter Isaacson,#中譯、1. bio,4.0,科技史佳作,原名 The Innovators，《賈伯斯傳》作者，數位革命群像,2024-05-24 12:31:28.646333
偽魚販指南,林楷倫,#台版、1. non-fiction,,無法評估,中文原創作品，無法以英語學術資源評估,2024-05-24 12:42:38.423282
內景唐人街,游朝凱 (Charles Yu),#台版、1. fiction,4.0,領域重要作品,2020年國家圖書獎得主，形式創新之作。原書名：Interior Chinatown,2024-05-24 12:42:55.622463
其後,賴香吟,#台版、1. non-fiction,,無法評估,中文原創作品，無法以英語學術資源評估,2024-05-24 12:42:55.678159
讀：因為有小說，我們得以自由,金英夏,#台版、1. non-fiction,,無法評估,韓文原創作品，無法以英語學術資源評估,2024-05-24 12:42:55.806912
別名格蕾絲,Margaret Atwood,#中譯、1. fiction,4.0,領域重要作品,Atwood重要作品，吉勒獎入圍，廣泛被研究與教授。原書名：Alias Grace,2024-05-24 12:42:55.850337
科學怪人,Mary Shelley,#台版、1. classic,5.0,文學正典,1818 年出版，公認史上第一部科幻小說，西方文學正典，影響無數後世作品 (Frankenstein),2024-05-24 12:42:56.035971
萬物的簽名,Elizabeth Gilbert,#台版、1. fiction,3.0,暢銷好評,Gilbert轉型之作，好評歷史小說但非經典。原書名：The Signature of All Things,2024-05-24 12:42:56.152161
泰斯凱蘭二部曲【《名為帝國的記憶》＋《名為和平的荒蕪》,Arkady Martine,#台版、1. fiction,4.0,領域重要作品,《名為帝國的記憶》獲雨果獎最佳長篇。原書名：A Memory Called Empire + A Desolation Called Peace,2024-05-24 12:42:56.530301
梅岡城故事,Harper Lee,#台版、1. classic,5.0,學科經典,普立茲獎得主，美國文學正典，最被廣泛教授的小說之一。原書名：To Kill a Mockingbird,2024-05-24 12:42:56.587690
毒木聖經,Barbara Kingsolver,#台版、1. fiction,4.0,領域重要作品,美國重要小說，廣泛被教授，Kingsolver後獲普立茲獎。原書名：The Poisonwood Bible,2024-05-24 12:42:56.678449
星移記,Hugh Howey,#台版、1. fiction,3.0,暢銷好評,Wool續作，暢銷但非經典。原書名：Shift,2024-05-24 12:42:56.781133
有時你會寂寞但那並非沒有道理,Charles Bukowski,#台版、1. fiction,3.0,暢銷好評,反文化詩歌代表，有影響力但學術地位有爭議。原書名：You Get So Alone at Times That It Just Makes Sense,2024-05-24 12:42:56.811424
塵土記,Hugh Howey,#台版、1. fiction,3.0,暢銷好評,自出版傳奇，暢銷但非文學經典。原書名：Wool,2024-05-24 12:42:56.865708
地球盡頭的溫室,金草葉,#台版、1. fiction,1.0,無法評估,韓文原創作品，英語世界無充分評價資源。,2024-05-24 12:42:56.919134
告訴我，你受了什麼苦？,Sigrid Nunez,#台版、1. fiction,3.0,暢銷好評,Nunez為國家圖書獎得主（The Friend），此作好評但非代表作。原書名：What Are You Going Through?,2024-05-24 12:42:56.971037
太多值得思考的事物：索爾·貝婁散文選 1940-2000,Saul Bellow| Benjamin Taylor,#中譯、1. BoB,5.0,諾獎得主文選,1976 年諾貝爾文學獎得主散文集，美國文學巨擘，學術價值極高,2024-05-24 12:54:57.710406
在黑暗中閱讀,Seamus Deane,#台版、1. BoB,4.0,愛爾蘭文學回憶錄,愛爾蘭重要詩人與學者，Field Day 創辦人，回憶錄獲好評,2024-05-24 12:54:57.743989
至少還有書,Pamela Paul,#中譯、1. BoB,3.0,閱讀回憶錄,NYT 書評編輯讀書日記，Economist/Washington Post 好評，個人化閱讀紀錄,2024-05-24 12:54:57.841197
巴黎評論·女性作家訪談,The Paris Review,#中譯、1. BoB,4.0,訪談系列佳作,專題選輯，聚焦女性作家，學術與普及價值兼具,2024-05-24 12:54:59.152386
巴黎評論·作家訪談6,The Paris Review,#中譯、1. BoB,5.0,訪談系列經典,同上，包含 Philip Roth、Milan Kundera 等當代大師,2024-05-24 12:54:59.304717
寫作這回事,Stephen King,#中譯、2. methodology,5.0,寫作指南經典,2000 年出版，Entertainment Weekly 新經典 #21，20 週年紀念版，與《風格的要素》並列寫作必讀,2024-05-23 12:54:59
博學者與他們的時代,Peter Burke,#台版、1. BoB,4.0,文化史佳作,Peter Burke 為劍橋知名文化史學者，此書探討博學者傳統，學術聲譽良好,2024-05-24 12:54:59.710476
一個定理的誕生：我與菲爾茨獎的一千個日夜,Cédric Villani,#中譯、1. bio,4.0,科學回憶錄,原名 Birth of a Theorem，菲爾茲獎得主，數學研究歷程,2024-05-24 12:56:08.549257
語言本能,Steven Pinker,#中譯、2. methodology、3. language,5.0,學科經典,原書 The Language Instinct，獲 William James Book Prize，語言學認知科學正典,2024-05-24 12:56:10.746984
蚱蜢：遊戲、生命與烏托邦,Bernard Suits,#台版、2. philosophy,4.0,遊戲哲學經典,原名 The Grasshopper，遊戲哲學奠基之作，哲學界 cult classic,2024-05-24 12:56:10.828893
見樹又見林 ：社會學作為一種生活、實踐與承諾,Allan G. Johnson,#台版、2. sociology/science,4.0,社會學入門佳作,Choice 稱「精湛」，社會學入門經典教材，Peter Berger/C. Wright Mills 傳統,2024-05-24 12:56:10.889234
為什麼你不敢面對真實的自己？,Wayne W. Dyer,#台版、2. mind,3.0,流行暢銷,暢銷作家 Wayne Dyer 作品,2024-05-24 12:56:11.399475
我如何真確理解世界：漢斯．羅斯林的人生思辨,Hans Rosling| Fanny Härgestam,#台版、1. bio,4.0,科學家自傳,原名 How I Learned to Understand the World，《真確》作者自傳,2024-05-24 12:56:11.567597
命若星塵,Erik Olin Wright,#台版、2. sociology/science,4.0,學術回憶錄,威斯康辛大學傑出教授，馬克思主義社會學家臨終反思，Publishers Weekly 星級評論,2024-05-24 12:56:11.864290
吾業遊民：一個德國遊民血淚拚搏三十年的街頭人生,Richard Brox,#台版、2. sociology/science,3.0,紀實作品,德國遊民 30 年街頭經歷自傳，紀實價值高但非學術經典,2024-05-24 12:56:12.068963
